Type,Tour,Tariff Type,Cost,TOs,Tot Weight,Tot Vol,Tot Length
direct,Supplier Porto->Nuremburg,FTL,557.2,"['TO-IB-200001', 'TO-IB-200022']",22277.0,64.63,13.6
direct,Supplier Porto->Nuremburg,FTL,557.2,['TO-IB-200004'],12750.0,46.56,10.0
direct,Supplier Porto->Nuremburg,FTL,557.2,"['TO-IB-200019', 'TO-IB-180033', 'TO-IB-180031', 'TO-0160004']",11187.0,65.74,13.4
direct,Supplier Porto->Munich,FTL,564.97,"['TO-IB-200008', 'TO-0160028', 'TO-0160010']",16859.0,58.42,11.99
direct,Supplier Porto->Munich,FTL,564.97,"['TO-IB-180041', 'TO-IB-200026', 'TO-0160008', 'TO-IB-180042']",19915.0,64.09,12.92
direct,Supplier Porto->Munich,FTL,564.97,"['TO-IB-200010', 'TO-IB-180040']",24780.0,53.47,11.2
direct,Supplier Porto->Stuttgart,FTL,516.74,"['TO-IB-200016', 'TO-IB-180038', 'TO-0160014']",9693.0,65.74,13.62
direct,Supplier Porto->Stuttgart,FTL,516.74,"['TO-IB-200034', 'TO-IB-180036', 'TO-IB-200033', 'TO-0160033', 'TO-0160015']",11143.0,62.96,13.2
direct,Supplier Porto->Stuttgart,FTL,516.74,"['TO-IB-200014', 'TO-0160034', 'TO-IB-180039']",24899.0,52.3,10.66
direct,Supplier Porto->Stuttgart,FTL,516.74,"['TO-IB-200015', 'TO-0160016', 'TO-IB-180035', 'TO-IB-200032', 'TO-0160032']",23749.0,62.25,13.04
direct,Supplier Barcelona->Nuremburg,FTL,380.06,"['TO-IB-200021', 'TO-IB-180032', 'TO-0160021']",12850.0,34.08,13.0
outbound,Supplier Porto->Nuremburg->Munich,Milkrun,1641.66,"['TO-IB-200028', 'TO-0160026', 'TO-0160022', 'TO-0160037']",13606.0,49.77,12.44
outbound,Supplier Barcelona->Stuttgart->Nuremburg,Milkrun,1068.4,"['TO-IB-200003', 'TO-0160050']",9500.0,28.74,12.9
direct,Supplier Porto->Nuremburg,FTL,557.2,['TO-0160019'],1697.0,34.52,7.2
direct,Supplier Porto->Nuremburg,LTL2,467.09,['TO-0160001'],1157.0,49.73,10.4
direct,Supplier Barcelona->Nuremburg,LTL2,197.29,['TO-0160003'],500.0,1.92,0.8
